BibNum,ReportDate,ItemCount
3011076,09/01/2017,1
2248846,09/01/2017,1
3209270,09/01/2017,1
1907265,09/01/2017,1
1644616,09/01/2017,1
1736505,09/01/2017,1
1749492,09/01/2017,1
3270562,09/01/2017,1
3264577,09/01/2017,1
3236819,09/01/2017,2
3018388,09/01/2017,1
3122831,09/01/2017,1
2519097,09/01/2017,1
3274605,09/01/2017,1
3265336,09/01/2017,1
3154492,09/01/2017,1
3167678,09/01/2017,1
